##### Asset #####,assetbundle_lookup_table.ab
Hash,c418b788f7448783200ebab60719c0fe
UUID,f6beacd1-6c38-4a7d-8182-5955b91467bb
Link,https://sdorica.rayark.download/android/client_assets/f6beacd1-6c38-4a7d-8182-5955b91467bb/assetbundle_lookup_table.ab
##### Asset #####,AssetBundles.ab
Hash,a82d7ace2c8683a115bf265d2d219e08
UUID,10948b89-14c8-4476-b298-fc2664aa142f
Link,https://sdorica.rayark.download/android/client_assets/10948b89-14c8-4476-b298-fc2664aa142f/AssetBundles.ab
##### Asset #####,audioclip_music_chapter201_dialog_bg_01.ab
Hash,c71d516375bc8de2241cddbd0b159188
UUID,d6f49870-2403-4d08-98eb-4bb14a930474
Link,https://sdorica.rayark.download/android/client_assets/d6f49870-2403-4d08-98eb-4bb14a930474/audioclip_music_chapter201_dialog_bg_01.ab
##### Asset #####,audioclip_music_chapter209_dialog_bg_01.ab
Hash,711531b4440d7a67dede9d26d62065d6
UUID,1f450518-3a60-494b-9764-5411fc38bded
Link,https://sdorica.rayark.download/android/client_assets/1f450518-3a60-494b-9764-5411fc38bded/audioclip_music_chapter209_dialog_bg_01.ab
##### Asset #####,audioclip_music_music_area_atlas_ruins.ab
Hash,ba7c95708e68351b9340f6ed88e6d63c
UUID,5b465598-75cb-418c-b36c-e415e5f91757
Link,https://sdorica.rayark.download/android/client_assets/5b465598-75cb-418c-b36c-e415e5f91757/audioclip_music_music_area_atlas_ruins.ab
##### Asset #####,audioclip_music_music_area_desert.ab
Hash,f6121aa3c32d9db6836af7b0da936f4d
UUID,f6da471c-f71f-4761-b3e4-f98a76921e2d
Link,https://sdorica.rayark.download/android/client_assets/f6da471c-f71f-4761-b3e4-f98a76921e2d/audioclip_music_music_area_desert.ab
##### Asset #####,audioclip_music_music_area_maple_lake.ab
Hash,a4f9e16354b54ae03b15b4846608073c
UUID,d2c1a79e-fb12-4445-8808-c0fc4ad452f7
Link,https://sdorica.rayark.download/android/client_assets/d2c1a79e-fb12-4445-8808-c0fc4ad452f7/audioclip_music_music_area_maple_lake.ab
##### Asset #####,audioclip_music_music_area_market.ab
Hash,ee017cdeeae1195234ea1c1a3501c140
UUID,23099aa1-9bc1-420b-8923-f70aa0abff8b
Link,https://sdorica.rayark.download/android/client_assets/23099aa1-9bc1-420b-8923-f70aa0abff8b/audioclip_music_music_area_market.ab
##### Asset #####,audioclip_music_music_area_rune_college.ab
Hash,a943d05cf8bf467a34d5e63d1e7357ce
UUID,649a42ec-0d6a-4803-854f-f678860794dc
Link,https://sdorica.rayark.download/android/client_assets/649a42ec-0d6a-4803-854f-f678860794dc/audioclip_music_music_area_rune_college.ab
##### Asset #####,audioclip_music_music_area_slum_piano.ab
Hash,c825677185ba1a377d6f3626f75f3084
UUID,3b58a6b8-fc91-415c-942d-603f6e910de6
Link,https://sdorica.rayark.download/android/client_assets/3b58a6b8-fc91-415c-942d-603f6e910de6/audioclip_music_music_area_slum_piano.ab
##### Asset #####,audioclip_music_music_area_slum_wind.ab
Hash,9d494184e3e7592ff2e009fdbaaa0ea6
UUID,66be70fc-464e-4994-bfdf-37855fa208dc
Link,https://sdorica.rayark.download/android/client_assets/66be70fc-464e-4994-bfdf-37855fa208dc/audioclip_music_music_area_slum_wind.ab
##### Asset #####,audioclip_music_music_area_slum.ab
Hash,ab39db30361a0d4e5acd720a4038b19a
UUID,f0be4dbe-ce9a-44fc-b3a9-65d073b4e740
Link,https://sdorica.rayark.download/android/client_assets/f0be4dbe-ce9a-44fc-b3a9-65d073b4e740/audioclip_music_music_area_slum.ab
##### Asset #####,audioclip_music_music_area_sun_castle_flying.ab
Hash,18b5c738b14c25f775e368f939a39740
UUID,d74ed664-e82e-4a5d-abea-59995eb471f0
Link,https://sdorica.rayark.download/android/client_assets/d74ed664-e82e-4a5d-abea-59995eb471f0/audioclip_music_music_area_sun_castle_flying.ab
##### Asset #####,audioclip_music_music_area_sun_castle.ab
Hash,3e2b02c99c6eee0e297760269c8bedd1
UUID,8ad82add-77d3-4361-9c0b-f88c5e7a504b
Link,https://sdorica.rayark.download/android/client_assets/8ad82add-77d3-4361-9c0b-f88c5e7a504b/audioclip_music_music_area_sun_castle.ab
##### Asset #####,audioclip_music_music_area_sunny_plain.ab
Hash,d439faaae65dc3e5abfdb8045047cf75
UUID,77b96868-8a75-48c1-986d-fbeeeb1df5da
Link,https://sdorica.rayark.download/android/client_assets/77b96868-8a75-48c1-986d-fbeeeb1df5da/audioclip_music_music_area_sunny_plain.ab
##### Asset #####,audioclip_music_music_area_sunny_plain2.ab
Hash,c6c57a0aade2ee891a37acafef122e40
UUID,91a35e76-a943-411b-8db1-3c4f5c339b98
Link,https://sdorica.rayark.download/android/client_assets/91a35e76-a943-411b-8db1-3c4f5c339b98/audioclip_music_music_area_sunny_plain2.ab
##### Asset #####,audioclip_music_music_area_totemtaff_drum.ab
Hash,21ced82fb77dde691c3982f5d666996f
UUID,a3b509a9-701d-41f4-962d-e049591a8002
Link,https://sdorica.rayark.download/android/client_assets/a3b509a9-701d-41f4-962d-e049591a8002/audioclip_music_music_area_totemtaff_drum.ab
