
##### Table #####,Adventure
ChineseSimplified,English
String,String
##### Data #####
幻境成就,WT Achievements
成就未解锁,Not yet unlocked
"实战
符文","Combat
Rune"
实战符阵,TabB
军事符文,TabC
军事符阵,TabD
自创符文,TabE
实战符文初级合格,Combat Rune [Easy] 
达成周排名进入前1000名1次,Achieve Top 1000 in the Weekly Ranks 1 time.
实战符文初级优等,Elite Combat Rune [Easy] 
累积5次周排名进入前1000名,Achieve Top 1000 in the Weekly Ranks 5 times.
实战符文中级合格,Combat Rune [Medium] 
达成周排名进入前500名1次,Achieve Top 500 in the Weekly Ranks 1 time.
实战符文中级优等,Elite Combat Rune [Medium] 
累积5次周排名进入前500名,Achieve Top 500 in the Weekly Ranks 5 times.
实战符文高级合格,Combat Rune [Hard]
达成周排名进入前100名1次,Achieve Top 100 in the Weekly Ranks 1 time.
实战符文高级优等,Elite Combat Rune [Hard]
累积5次周排名进入前100名,Achieve Top 100 in the Weekly Ranks 5 time.
实战符文特级合格,Combat Rune [Special]
达成周排名进入前10名1次,Achieve Top 10 in the Weekly Ranks 1 time.
实战符文特级优等,Elite Combat Rune [Special]
累积5次周排名进入前10名,Achieve Top 10 in the Weekly Ranks 5 times.
实战符文绝级合格,Combat Rune [Extreme]
达成周排名第1名1次,Achieve No.1 in the Weekly Ranks 1 time.
实战符文绝级优等,Elite Combat Rune [Extreme]
累积5次周排名第1名,Achieve No.1 in the Weekly Ranks 5 times.
201_标题,201_標題
201_叙述,201_敘述
202_标题,202_標題
202_叙述,202_敘述
203_标题,203_標題
203_叙述,203_敘述
301_标题,301_標題
301_叙述,301_敘述
302_标题,302_標題
302_叙述,302_敘述
303_标题,303_標題
303_叙述,303_敘述
401_标题,401_標題
401_叙述,401_敘述
402_标题,402_標題
402_叙述,402_敘述
403_标题,403_標題
403_叙述,403_敘述
501_标题,501_標題
501_叙述,501_敘述
502_标题,502_標題
502_叙述,502_敘述
503_标题,503_標題
503_叙述,503_敘述
符文见习高级合格,High Level Rune Trainee (Pass)
达到 Rank 1 [ 25% ] 以上 1 次,Reach Rank 1 [25%] or higher 1x
符文学徒高级合格,High Level Rune Disciple (Pass)
达到 Rank 2 [ 25%] 以上 1 次,Reach Rank 2 [25%] or higher 1x
符文学徒高级优等,High Level Rune Disciple (A+)
累积3 次达到 Rank 2 [ 25% ] 以上,Reach Rank 2 [25%] or higher 3x
符文学徒中级优等,Mid Level Rune Disciple (A+)
累积5 次达到 Rank 2 [ 50% ] 以上,Reach Rank 2 [50%] or higher 5x
符文学徒初级优等,Entry Level Rune Disciple  (A+)
累积10 次达到 Rank 2 [ 75% ] 以上,Reach Rank 2 [75%] or higher 10x
符文首席高级合格,High Level Rune Chief (Pass)
达到 Rank 3 [ 25% ] 以上 1 次,Reach Rank 3 [25%] or higher 1x
符文首席特级合格,Elite Level Rune Chief (Pass)
达到 Rank 3 [ 10% ] 以上 1 次,Reach Rank 3 [10%] or higher 1x
符文首席高级优等,High Level Rune Chief (A+)
累积3 次达到 Rank 3 [ 25% ] 以上,Reach Rank 3 [25%] or higher 3x
符文首席特级优等,Elite Level Rune Chief (A+)
