
##### Table #####,AbilityDrop
groupId,abilityId,type,weight
String,String,enum:AbilityType,Integer
##### Data #####
1 (赤狼),7 (毒擊),Skill,10000
2 (赤狼),4 (再生),Skill,10000
3 (赤狼),2 (集結向心力Ⅰ),Speciality,1000
3 (赤狼),5 (飛毛腿Ⅰ),Speciality,600
3 (赤狼),8 (依存中鋒Ⅰ),Speciality,2100
3 (赤狼),12 (後衛小隊Ⅰ),Speciality,2100
3 (赤狼),13 (晴空草原Ⅰ),Speciality,4800
4 (赤狼),2 (集結向心力Ⅰ),Speciality,1000
4 (赤狼),5 (飛毛腿Ⅰ),Speciality,600
4 (赤狼),8 (依存中鋒Ⅰ),Speciality,2100
4 (赤狼),12 (後衛小隊Ⅰ),Speciality,2100
4 (赤狼),13 (晴空草原Ⅰ),Speciality,4800
5 (碧狼),2 (撕裂),Skill,10000
6 (碧狼),9 (嘲諷),Skill,10000
7 (碧狼),2 (集結向心力Ⅰ),Speciality,1000
7 (碧狼),6 (經驗豐富Ⅰ),Speciality,600
7 (碧狼),9 (依存後衛Ⅰ),Speciality,2100
7 (碧狼),10 (前線小隊Ⅰ),Speciality,2100
7 (碧狼),15 (啼林谷Ⅰ),Speciality,4800
8 (碧狼),2 (集結向心力Ⅰ),Speciality,1000
8 (碧狼),6 (經驗豐富Ⅰ),Speciality,600
8 (碧狼),9 (依存後衛Ⅰ),Speciality,2100
8 (碧狼),10 (前線小隊Ⅰ),Speciality,2100
8 (碧狼),15 (啼林谷Ⅰ),Speciality,4800
9 (棕狼),4 (再生),Skill,10000
10 (棕狼),5 (搬運),Skill,10000
11 (棕狼),2 (集結向心力Ⅰ),Speciality,1000
11 (棕狼),5 (飛毛腿Ⅰ),Speciality,600
11 (棕狼),7 (依存前線Ⅰ),Speciality,2100
11 (棕狼),11 (中鋒小隊Ⅰ),Speciality,2100
11 (棕狼),18 (彭列瓦Ⅰ),Speciality,4800
12 (棕狼),2 (集結向心力Ⅰ),Speciality,1000
12 (棕狼),5 (飛毛腿Ⅰ),Speciality,600
12 (棕狼),7 (依存前線Ⅰ),Speciality,2100
12 (棕狼),11 (中鋒小隊Ⅰ),Speciality,2100
12 (棕狼),18 (彭列瓦Ⅰ),Speciality,4800
13 (蹦跳菇),9 (嘲諷),Skill,10000
14 (蹦跳菇),6 (搜索),Skill,10000
15 (蹦跳菇),2 (集結向心力Ⅰ),Speciality,1000
15 (蹦跳菇),6 (經驗豐富Ⅰ),Speciality,600
15 (蹦跳菇),8 (依存中鋒Ⅰ),Speciality,2100
15 (蹦跳菇),12 (後衛小隊Ⅰ),Speciality,2100
15 (蹦跳菇),13 (晴空草原Ⅰ),Speciality,4800
16 (蹦跳菇),2 (集結向心力Ⅰ),Speciality,1000
16 (蹦跳菇),6 (經驗豐富Ⅰ),Speciality,600
16 (蹦跳菇),8 (依存中鋒Ⅰ),Speciality,2100
16 (蹦跳菇),12 (後衛小隊Ⅰ),Speciality,2100
16 (蹦跳菇),13 (晴空草原Ⅰ),Speciality,4800
17 (古魯幼獸),5 (搬運),Skill,10000
18 (古魯幼獸),3 (靈巧),Skill,10000
