
##### Table #####,Adventure
Key,Chinese
String,String
##### Data #####
achievement_title,幻境成就
achievement_locked,成就未解鎖
tab_a,"實戰
符文"
tab_b,"實戰
符陣"
tab_c,"軍事
符文"
tab_d,"軍事
符陣"
tab_e,"自創
符文"
achi_title_101,實戰符文初級合格
achi_101,達成週排名進入前1000名1次
achi_title_102,實戰符文初級優等
achi_102,累積5次週排名進入前1000名
achi_title_103,實戰符文中級合格
achi_103,達成週排名進入前500名1次
achi_title_104,實戰符文中級優等
achi_104,累積5次週排名進入前500名
achi_title_105,實戰符文高級合格
achi_105,達成週排名進入前100名1次
achi_title_106,實戰符文高級優等
achi_106,累積5次週排名進入前100名
achi_title_107,實戰符文特級合格
achi_107,達成週排名進入前10名1次
achi_title_108,實戰符文特級優等
achi_108,累積5次週排名進入前10名
achi_title_109,實戰符文絕級合格
achi_109,達成週排名第1名1次
achi_title_110,實戰符文絕級優等
achi_110,累積5次週排名第1名
achi_title_201,累計積分
achi_201,當日累計積分達200
achi_title_202,202_標題
achi_202,202_敘述
achi_title_203,203_標題
achi_203,203_敘述
achi_title_301,連續百分之50
achi_301,連續2次日排名在前百分之50
achi_title_302,302_標題
achi_302,302_敘述
achi_title_303,303_標題
achi_303,303_敘述
achi_title_401,累積百分之50
achi_401,累積2次日排名在前百分之50
achi_title_402,402_標題
achi_402,402_敘述
achi_title_403,403_標題
achi_403,403_敘述
achi_title_501,連續前10名
achi_501,連續2次週排名在前10名
achi_title_502,502_標題
achi_502,502_敘述
achi_title_503,503_標題
achi_503,503_敘述
achi_title_601,符文見習高級合格
achi_601,達到 Rank 1 [ 25% ] 以上 1 次
achi_title_602,符文學徒高級合格
achi_602,達到 Rank 2 [ 25%] 以上 1 次
achi_title_603,符文學徒高級優等
achi_603,累積3 次達到 Rank 2 [ 25% ] 以上
achi_title_604,符文學徒中級優等
achi_604,累積5 次達到 Rank 2 [ 50% ] 以上
achi_title_605,符文學徒初級優等
achi_605,累積10 次達到 Rank 2 [ 75% ] 以上
achi_title_606,符文首席高級合格
achi_606,達到 Rank 3 [ 25% ] 以上 1 次
achi_title_607,符文首席特級合格
achi_607,達到 Rank 3 [ 10% ] 以上 1 次
achi_title_608,符文首席高級優等
achi_608,累積3 次達到 Rank 3 [ 25% ] 以上
achi_title_609,符文首席特級優等
achi_609,累積3 次達到 Rank 3 [ 10% ] 以上
achi_title_610,符文首席中級優等
achi_610,累積5 次達到 Rank 3 [ 50% ] 以上
achi_title_611,符文首席初級優等
achi_611,累積10 次達到 Rank 3 [ 75% ] 以上
tier_rank1,見習
tier_rank2,學徒
tier_rank3,首席
tier_rank4,賢者
adventure_tab_tier,"階級
排名"
tier_rankUp_title,Rank Up！
tier_rankUp_content,"恭喜！你已經成功晉升至 {[tier]} 了！
祝你在幻境試煉中展現更高的符文成就"
tier_rankDown_content,你的幻境階級已更新為 {[tier]}
quest_mode_bonus_add,{[bonus]}
quest_mode_bonus_multiply,X{[bonus]}
##### Table #####,Avatars
Key,Chinese
String,String
##### Data #####
1,預設頭像
2,古魯瓦德共鳴三階取得
3,荷絲緹雅共鳴三階取得
4,黯月共鳴三階取得
5,貓眼共鳴三階取得
6,奧斯塔共鳴三階取得
7,羅傑共鳴三階取得
8,蒂卡共鳴三階取得
9,實驗體共鳴三階取得
10,庫爾共鳴三階取得
11,龐共鳴三階取得
12,娜雅共鳴三階取得
13,諾瓦共鳴三階取得
14,希歐共鳴三階取得
15,安潔莉亞共鳴三階取得
16,迪蘭共鳴三階取得
17,西奧多共鳴三階取得
18,賈漢共鳴三階取得
19,夏爾共鳴三階取得
20,法蒂瑪共鳴三階取得
21,揚波共鳴三階取得
22,卡努拉共鳴三階取得
23,納杰爾共鳴三階取得
24,琉共鳴三階取得
25,璃共鳴三階取得
26,刃共鳴三階取得
27,碎牙共鳴三階取得
28,夏洛克共鳴三階取得
29,尼德共鳴三階取得
30,麗莎共鳴三階取得
31,普吉共鳴三階取得
32,雪爾森共鳴三階取得
33,雪爾森共鳴三階取得
34,特殊活動取得
35,芙蕾莉卡共鳴三階取得
36,安潔莉亞 SP 共鳴三階取得
37,希歐 SP 共鳴三階取得
38,《萬象先鋒》活動取得
39,《萬象先鋒》活動取得
40,《萬象先鋒》活動取得
41,《萬象先鋒》活動取得
42,《萬象先鋒》活動取得
43,《萬象先鋒》活動取得
44,《初春王家獵宴》活動取得
45,迪蘭 SP 共鳴三階取得
46,雪莉 共鳴三階取得
47,黯月 SP 共鳴三階取得
48,納杰爾 SP 共鳴三階取得
49,《萬象更新慶端午》活動取得
50,泉 共鳴三階取得
51,貓眼SP 共鳴三階取得
52,卡蓮 共鳴三階取得
53,二部小說首刷限定禮
54,二部小說首刷限定禮
55,幻境試煉成就《實戰符文初級合格》取得
56,幻境試煉成就《實戰符文初級優等》取得
57,幻境試煉成就《實戰符文中級合格》取得
58,幻境試煉成就《實戰符文中級優等》取得
59,幻境試煉成就《實戰符文高級合格》取得
60,幻境試煉成就《實戰符文高級優等》取得
61,幻境試煉成就《實戰符文特級合格》取得
62,幻境試煉成就《實戰符文特級優等》取得
63,幻境試煉成就《實戰符文絕級合格》取得
64,幻境試煉成就《實戰符文絕級優等》取得
65,《第一次當魔法師就上手》活動取得
66,麗莎 SP 共鳴三階取得
67,琉 SP 共鳴三階取得
68,璃 SP 共鳴三階取得
69,《大兔小兔落玉盤》活動取得
70,艾利歐 共鳴三階取得
71,諾瓦 SP 共鳴三階取得
72,蒂卡 SP 共鳴三階取得
73,Deemo 共鳴三階取得
74,愛麗絲 共鳴三階取得
75,面具小姐 共鳴三階取得
76,《SdoricaxDEEMO》活動取得
77,法蒂瑪 SP 共鳴三階取得
78,海德 共鳴三階取得
79,荷絲緹雅SP 共鳴三階取得
80,龐SP 共鳴三階取得
81,【怦然心動禮盒】取得
